Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,30.17,9.9,24.01,12.72,26.5,5.15,6.42,2.53,10000,0,,1080.0,1000.0
50,50.69,34.72,24.02,16.0,121.93,11.04,20.02,4.47,10000,0,,288.0,200.0
100,54.88,38.89,30.0,16.5,176.12,13.27,24.75,4.97,10000,0,,372.0,100.0
200,58.49,40.37,30.0,17.2,218.9,14.8,18.56,4.31,10000,0,,288.0,50.0
400,58.39,38.61,24.01,14.33,131.02,11.45,8.56,2.93,10000,0,,264.0,25.0
600,61.62,37.06,24.01,17.25,295.31,17.18,17.44,4.18,10000,0,,324.0,16.67
1000,59.56,36.36,24.01,17.6,331.96,18.22,16.65,4.08,10000,0,,282.0,10.0
1500,59.4,40.49,24.01,15.37,114.25,10.69,17.87,4.23,10000,0,,336.0,6.67
1800,57.28,37.97,30.01,15.53,227.28,15.08,12.96,3.6,10000,0,,366.0,5.56
2000,60.27,40.28,24.01,15.37,136.95,11.7,8.86,2.98,10000,0,,360.0,5.0
