Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,20.17,9.9,24.0,12.58,14.25,3.78,4.0,2.0,10000,0,,1032.0,1000.0
50,49.14,30.56,24.01,14.35,86.46,9.3,11.71,3.42,10000,0,,336.0,200.0
100,46.89,31.51,30.0,13.83,107.18,10.35,17.01,4.12,10000,0,,306.0,100.0
200,46.22,33.92,24.0,14.29,53.7,7.33,11.92,3.45,10000,0,,372.0,50.0
400,47.74,32.76,18.01,13.3,111.39,10.55,6.13,2.48,10000,0,,420.0,25.0
600,50.16,38.31,24.0,13.89,34.92,5.91,11.57,3.4,10000,0,,306.0,16.67
1000,46.66,35.3,24.01,14.4,82.25,9.07,15.85,3.98,10000,0,,468.0,10.0
1500,48.15,33.71,24.01,14.0,96.26,9.81,8.0,2.83,10000,0,,396.0,6.67
1800,51.72,31.55,24.01,13.83,121.86,11.04,7.63,2.76,10000,0,,396.0,5.56
2000,50.81,36.21,24.01,17.25,97.21,9.86,17.45,4.18,10000,0,,360.0,5.0
