Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,26.41,10.86,36.0,17.13,24.64,4.96,48.59,6.97,10000,0,,1050.0,1000.0
50,46.67,29.96,36.0,18.95,135.65,11.65,42.68,6.53,10000,0,,456.0,200.0
100,47.31,33.18,36.01,16.1,91.81,9.58,26.72,5.17,10000,0,,456.0,100.0
200,50.95,33.97,30.0,18.35,139.48,11.81,44.33,6.66,10000,0,,408.0,50.0
400,49.51,37.76,42.01,15.53,83.32,9.13,8.72,2.95,10000,0,,408.0,25.0
600,49.12,31.66,30.01,17.33,128.04,11.32,23.55,4.85,10000,0,,348.0,16.67
1000,49.84,32.9,42.0,18.0,135.89,11.66,55.98,7.48,10000,0,,390.0,10.0
1500,46.21,34.43,35.99,16.67,100.36,10.02,38.21,6.18,10000,0,,486.0,6.67
1800,47.58,35.54,30.0,15.16,62.56,7.91,27.91,5.28,10000,0,,456.0,5.56
2000,51.31,33.71,36.01,18.35,90.52,9.51,48.63,6.97,10000,0,,348.0,5.0
