10,14.17,8.25,18.0,12.5,12.55,3.54,2.75,1.66,1200,0,,138.0
30,31.67,23.24,18.0,12.0,91.06,9.54,0.0,0.0,3600,0,,144.0
50,38.24,31.32,24.01,13.09,85.97,9.27,11.89,3.45,4284,1716,28.6%,480.0
100,58.84,35.16,18.0,12.6,139.8,11.82,3.24,1.8,8718,3282,27.35%,600.0
200,52.21,32.81,78.0,18.8,126.73,11.26,215.38,14.68,8153,15847,66.03%,300.0
400,46.94,35.94,24.0,16.0,57.38,7.58,27.19,5.21,8682,21318,71.06%,312.0
600,49.25,33.37,24.0,12.92,104.27,10.21,7.46,2.73,11059,18941,63.14%,684.0
