Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,18.17,10.72,36.01,15.97,16.03,4.0,29.12,5.4,10000,0,,1026.0,1000.0
50,55.35,31.93,36.0,18.35,203.4,14.26,52.81,7.27,10000,0,,444.0,200.0
100,68.52,41.01,36.0,15.53,371.28,19.27,34.12,5.84,10000,0,,360.0,100.0
200,57.67,40.85,30.0,16.8,133.27,11.54,34.53,5.88,10000,0,,396.0,50.0
400,56.28,37.23,36.01,20.14,160.24,12.66,59.71,7.73,10000,0,,366.0,25.0
600,61.13,40.86,30.01,17.2,115.17,10.73,37.75,6.14,10000,0,,306.0,16.67
1000,54.29,35.8,36.0,17.29,165.22,12.85,29.14,5.4,10000,0,,450.0,10.0
1500,56.51,41.97,41.99,17.57,80.59,8.98,43.53,6.6,10000,0,,432.0,6.67
1800,66.75,48.45,30.0,15.0,124.12,11.14,14.13,3.76,10000,0,,324.0,5.56
2000,59.52,33.65,36.01,20.4,223.87,14.96,56.64,7.53,10000,0,,444.0,5.0
