10,10.09,8.42,24.01,24.0,7.64,2.76,0.0,0.0
30,30.09,28.34,30.0,24.0,8.55,2.92,0.0,0.0
50,46.34,36.45,30.0,24.0,26.55,5.15,10.3,3.21
100,50.41,37.27,48.0,24.0,46.08,6.79,18.05,4.25
200,48.36,35.26,48.0,24.5,63.87,7.99,14.77,3.84
400,38.54,33.06,48.0,26.0,51.65,7.19,44.0,6.63
