10,61.67,18.71,18.01,13.6,392.51,19.81,7.04,2.65,3467,-2267,
30,31.67,23.24,18.0,12.0,91.06,9.54,0.0,0.0,3600,0,
50,38.24,31.32,24.01,13.09,85.97,9.27,11.89,3.45,4284,1716,28.6%
100,58.84,35.16,18.0,12.6,139.8,11.82,3.24,1.8,8718,3282,27.35%
200,51.23,32.85,78.01,25.85,168.97,13.0,456.36,21.36,8533,15467,64.45%
