Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time
10,11.17,8.5,18.01,12.0
30,33.17,25.17,18.0,12.0
50,54.99,35.61,18.0,13.38
100,59.96,43.31,36.0,18.8
200,62.83,45.05,30.01,18.46
400,62.38,44.02,30.0,19.83
600,61.06,45.26,24.01,18.55
1000,60.64,40.32,30.0,14.48
1500,63.67,42.31,30.0,17.74
