block,timestamp,blocktime,transactions,tps
94,1675547460026,24,2,0.08333333333333333
95,1675547472026,12,2,0.16666666666666666
96,1675547496026,24,2,0.08333333333333333
97,1675547508024,11.998,2,0.16669444907484582
98,1675547532028,24.004,2,0.08331944675887351
99,1675547544028,12,2,0.16666666666666666
100,1675547568030,24.002,1008,41.99650029164236
101,1675547586025,17.995,689,38.288413448180044
102,1675547604032,18.007,973,54.03454212250791
103,1675547622026,17.994,693,38.51283761253751
104,1675547640030,18.004,1007,55.93201510775383
105,1675547676030,36,1035,28.75
106,1675547694021,17.991,654,36.351509087877275
107,1675547712029,18.008,967,53.69835628609507
108,1675547730026,17.997,712,39.56214924709674
109,1675547748028,18.002,974,54.10509943339629
110,1675547766025,17.997,662,36.783908429182645
111,1675547784031,18.006,50,2.776852160390981
112,1675547802024,17.993,602,33.457455677207804
113,1675547820029,18.005,2,0.11108025548458762
114,1675547832028,11.999,2,0.16668055671305942
115,1675547856026,23.998,2,0.08334027835652971
116,1675547868026,12,2,0.16666666666666666
117,1675547892031,24.005,2,0.08331597583836702
118,1675547904028,11.997,2,0.16670834375260482
119,1675547928027,23.999,2,0.08333680570023752
120,1675547940024,11.997,2,0.16670834375260482
121,1675547964032,24.008,2,0.08330556481172943
122,1675547976025,11.993,2,0.16676394563495373
123,1675548000029,24.004,2,0.08331944675887351
124,1675548012035,12.006,2,0.16658337497917708
125,1675548036027,23.992,2,0.08336112037345782
126,1675548048028,12.001,2,0.16665277893508876
127,1675548072027,23.999,2,0.08333680570023752
128,1675548084028,12.001,2,0.16665277893508876
129,1675548108029,24.001,2,0.083329861255781
130,1675548120027,11.998,2,0.16669444907484582
131,1675548144032,24.005,2,0.08331597583836702
132,1675548156024,11.992,2,0.1667778519012675
133,1675548180028,24.004,2,0.08331944675887351
134,1675548192026,11.998,2,0.16669444907484582
135,1675548216025,23.999,2,0.08333680570023752
136,1675548228024,11.999,2,0.16668055671305942
137,1675548252027,24.003,2,0.08332291796858726
138,1675548264030,12.003,2,0.16662501041406316
139,1675548288026,23.996,2,0.08334722453742291
