block,timestamp,blocktime,transactions,tps,events
77,1708563792029,30.001,2,0.06666444451851605,2
78,1708563810031,18.002,2,0.11109876680368849,2
79,1708563840027,29.996,2,0.06667555674089878,2
80,1708563852034,12.007,2,0.16656950112434413,2
81,1708563888028,35.994,766,21.28132466522198,1530
82,1708563906028,18,681,37.833333333333336,1360
83,1708563936024,29.996,1055,35.17135618082411,2108
84,1708563948035,12.011,455,37.88194155357589,908
85,1708563990040,42.005,1095,26.068325199381025,2188
86,1708564032026,41.986,1037,24.69870909350736,2072
87,1708564050034,18.008,652,36.206130608618395,1302
88,1708564080026,29.992,57,1.900506801813817,112
89,1708564092028,12.002,482,40.15997333777703,962
90,1708564128026,35.998,2,0.055558642146785936,78
91,1708564140028,12.002,527,43.90934844192634,1128
92,1708564176027,35.999,2,0.055557098808300225,82
93,1708564188032,12.005,526,43.81507705122865,1126
94,1708564230034,42.002,2,0.04761678015332603,82
95,1708564242026,11.992,539,44.946631087391594,1150
96,1708564272029,30.003,2,0.06666000066660001,2
97,1708564290033,18.004,648,35.992001777382804,1376
98,1708564320028,29.995,2,0.06667777962993832,74
99,1708564332029,12.001,596,49.66252812265645,1190
100,1708564368027,35.998,2,0.055558642146785936,174
101,1708564380030,12.003,579,48.23794051487128,1244
102,1708564416028,35.998,2,0.055558642146785936,84
103,1708564428029,12.001,337,28.080993250562454,760
104,1708564470034,42.005,2,0.04761337935960004,90
105,1708564482027,11.993,2,0.16676394563495373,90
106,1708564512027,30,2,0.06666666666666667,90
107,1708564530037,18.01,2,0.11104941699056078,90
108,1708564560026,29.989,2,0.06669112007736169,90
109,1708564572029,12.003,2,0.16662501041406316,90
110,1708564608028,35.999,2,0.055557098808300225,90
111,1708564620029,12.001,2,0.16665277893508876,90
112,1708564656027,35.998,2,0.055558642146785936,90
113,1708564668030,12.003,2,0.16662501041406316,90
114,1708564710032,42.002,2,0.04761678015332603,90
115,1708564722030,11.998,2,0.16669444907484582,90
116,1708564752027,29.997,2,0.06667333400006667,90
117,1708564770035,18.008,2,0.11106175033318526,90
118,1708564800026,29.991,2,0.0666866726684672,90
119,1708564812030,12.004,2,0.16661112962345886,90
120,1708564854029,41.999,2,0.047620181432891255,90
121,1708564866029,12,2,0.16666666666666666,90
