block,timestamp,blocktime,transactions,tps
119,1675678860027,11.998,2,0.16669444907484582
120,1675678872029,12.002,2,0.16663889351774702
121,1675678884034,12.005,2,0.1665972511453561
122,1675678896026,11.992,2,0.1667778519012675
123,1675678908032,12.006,2,0.16658337497917708
124,1675678920026,11.994,2,0.16675004168751043
125,1675678932026,12,2,0.16666666666666666
126,1675678944025,11.999,2,0.16668055671305942
127,1675678956028,12.003,2,0.16662501041406316
128,1675678968029,12.001,2,0.16665277893508876
129,1675678980029,12,2,0.16666666666666666
130,1675678992029,12,2,0.16666666666666666
131,1675679004026,11.997,2,0.16670834375260482
132,1675679016027,12.001,2,0.16665277893508876
133,1675679028036,12.009,2,0.16654176034640686
134,1675679040023,11.987,2,0.1668474180362059
135,1675679052030,12.007,2,0.16656950112434413
136,1675679064029,11.999,2,0.16668055671305942
137,1675679076025,11.996,2,0.16672224074691563
138,1675679088033,12.008,2,0.16655562958027983
139,1675679100029,11.996,2,0.16672224074691563
140,1675679112028,11.999,2,0.16668055671305942
141,1675679124031,12.003,2,0.16662501041406316
142,1675679136029,11.998,2,0.16669444907484582
143,1675679148028,11.999,2,0.16668055671305942
144,1675679160028,12,2,0.16666666666666666
145,1675679172031,12.003,44,3.6657502291093893
146,1675679184026,11.995,531,44.26844518549396
147,1675679196029,12.003,390,32.491877030742316
148,1675679208032,12.003,431,35.90768974423061
149,1675679220027,11.995,434,36.181742392663615
150,1675679232027,12,418,34.833333333333336
151,1675679244026,11.999,445,37.08642386865572
152,1675679256027,12.001,403,33.58053495542038
153,1675679268032,12.005,444,36.98458975426905
154,1675679286028,17.996,608,33.78528561902645
155,1675679304030,18.002,961,53.382957449172316
156,1675679334028,29.998,923,30.768717914527635
157,1675679352025,17.997,798,44.340723453908986
158,1675679370025,18,219,12.166666666666666
159,1675679388028,18.003,869,48.26973282230739
160,1675679406026,17.998,2,0.11112345816201799
161,1675679418033,12.007,503,41.892229532772554
162,1675679430030,11.997,319,26.58998082854047
163,1675679448032,18.002,879,48.82790801022109
164,1675679466032,18,2,0.1111111111111111
165,1675679478026,11.994,2,0.16675004168751043
166,1675679490030,12.004,419,34.90503165611463
167,1675679508039,18.009,2,0.11105558331945138
168,1675679520029,11.99,2,0.16680567139282734
