block,timestamp,blocktime,transactions,tps,events
123,1675787718026,12.001,2,0.16665277893508876,2
124,1675787736031,18.005,2,0.11108025548458762,2
125,1675787748026,11.995,2,0.16673614005835766,2
126,1675787760027,12.001,2,0.16665277893508876,2
127,1675787772028,12.001,2,0.16665277893508876,2
128,1675787784027,11.999,2,0.16668055671305942,2
129,1675787796036,12.009,2,0.16654176034640686,2
130,1675787808027,11.991,2,0.16679176048703195,2
131,1675787820029,12.002,2,0.16663889351774702,2
132,1675787832026,11.997,2,0.16670834375260482,2
133,1675787844024,11.998,2,0.16669444907484582,2
134,1675787856031,12.007,2,0.16656950112434413,2
135,1675787868030,11.999,2,0.16668055671305942,2
136,1675787880025,11.995,2,0.16673614005835766,2
137,1675787892026,12.001,2,0.16665277893508876,2
138,1675787904028,12.002,2,0.16663889351774702,2
139,1675787916030,12.002,2,0.16663889351774702,2
140,1675787928026,11.996,2,0.16672224074691563,2
141,1675787940032,12.006,2,0.16658337497917708,2
142,1675787952025,11.993,2,0.16676394563495373,2
143,1675787964026,12.001,535,44.57961836513624,2134
144,1675787982029,18.003,599,33.272232405710156,2390
145,1675787994027,11.998,417,34.755792632105354,1701
146,1675788006028,12.001,465,38.74677110240813,1854
147,1675788024025,17.997,835,46.39662165916542,3412
148,1675788042027,18.002,506,28.107988001333187,2018
149,1675788054029,12.002,434,36.1606398933511,1769
150,1675788072028,17.999,2,0.11111728429357187,41
151,1675788096031,24.003,874,36.412115152272634,3568
152,1675788114026,17.995,2,0.11114198388441233,41
153,1675788126032,12.006,438,36.48175912043978,1785
154,1675788144028,17.996,2,0.11113580795732386,41
155,1675788156036,12.008,491,40.8894070619587,1997
156,1675788174025,17.989,593,32.9645894713436,2405
157,1675788192032,18.007,863,47.9258066307547,3524
158,1675788216037,24.005,2,0.08331597583836702,80
159,1675788228027,11.99,544,45.37114261884904,2209
160,1675788240027,12,415,34.583333333333336,1693
161,1675788252026,11.999,2,0.16668055671305942,41
162,1675788264033,12.007,527,43.89106354626468,2141
163,1675788282027,17.994,593,32.955429587640324,2405
164,1675788294028,12.001,2,0.16665277893508876,41
165,1675788306030,12.002,585,48.74187635394101,2373
166,1675788318025,11.995,287,23.926636098374324,1181
167,1675788336034,18.009,37,2.0545282914098504,220
168,1675788348026,11.992,2,0.1667778519012675,41
169,1675788360026,12,2,0.16666666666666666,41
170,1675788372028,12.002,2,0.16663889351774702,41
171,1675788384027,11.999,2,0.16668055671305942,41
172,1675788396032,12.005,2,0.1665972511453561,41
173,1675788408030,11.998,2,0.16669444907484582,41
174,1675788420026,11.996,2,0.16672224074691563,41
175,1675788432028,12.002,2,0.16663889351774702,41
176,1675788444031,12.003,2,0.16662501041406316,41
177,1675788456033,12.002,2,0.16663889351774702,41
178,1675788468029,11.996,2,0.16672224074691563,41
