block,timestamp,blocktime,transactions,tps,events
43,1675774188023,36.001,2,0.055554012388544766,2
44,1675774224023,36,2,0.05555555555555555,2
45,1675774260025,36.002,2,0.0555524693072607,2
46,1675774302031,42.006,2,0.04761224586963767,2
47,1675774332024,29.993,2,0.06668222585269896,2
48,1675774368023,35.999,2,0.055557098808300225,2
49,1675774404020,35.997,2,0.055560185571019806,2
50,1675774440023,36.003,2,0.055550926311696246,2
51,1675774482029,42.006,2,0.04761224586963767,2
52,1675774518022,35.993,857,23.81018531381102,3422
53,1675774548024,30.002,872,29.064729018065464,3482
54,1675774584023,35.999,904,25.111808661351702,3637
55,1675774620023,36,875,24.305555555555557,3527
56,1675774662030,42.007,875,20.82986168971838,3533
57,1675774698025,35.995,877,24.364495068759553,3541
58,1675774734026,36.001,886,24.61042748812533,3577
59,1675774770026,36,905,25.13888888888889,3653
60,1675774806026,36,840,23.333333333333332,3393
