block,timestamp,blocktime,transactions,tps
47,1675689516025,36.001,2,0.055554012388544766
48,1675689552024,35.999,2,0.055557098808300225
49,1675689588028,36.004,2,0.055549383401844246
50,1675689624025,35.997,2,0.055560185571019806
51,1675689660024,35.999,2,0.055557098808300225
52,1675689696023,35.999,2,0.055557098808300225
53,1675689732025,36.002,2,0.0555524693072607
54,1675689768027,36.002,2,0.0555524693072607
55,1675689804024,35.997,2,0.055560185571019806
56,1675689840025,36.001,2,0.055554012388544766
57,1675689876024,35.999,2,0.055557098808300225
58,1675689912022,35.998,2,0.055558642146785936
59,1675689948028,36.006,2,0.05554629783924901
60,1675689984025,35.997,2,0.055560185571019806
61,1675690020022,35.997,2,0.055560185571019806
62,1675690056025,36.003,2,0.055550926311696246
63,1675690092025,36,2,0.05555555555555555
64,1675690128026,36.001,2,0.055554012388544766
65,1675690164024,35.998,2,0.055558642146785936
66,1675690200024,36,2,0.05555555555555555
67,1675690236024,36,2,0.05555555555555555
68,1675690272025,36.001,2,0.055554012388544766
69,1675690308029,36.004,2,0.055549383401844246
70,1675690344022,35.993,2,0.05556636012557997
71,1675690380026,36.004,2,0.055549383401844246
72,1675690416024,35.998,2,0.055558642146785936
73,1675690452025,36.001,2,0.055554012388544766
74,1675690488027,36.002,2,0.0555524693072607
75,1675690524024,35.997,2,0.055560185571019806
76,1675690560026,36.002,2,0.0555524693072607
77,1675690596024,35.998,2,0.055558642146785936
78,1675690632024,36,2,0.05555555555555555
79,1675690668030,36.006,2,0.05554629783924901
80,1675690704023,35.993,2,0.05556636012557997
81,1675690740024,36.001,22,0.6110941362739924
82,1675690776029,36.005,362,10.054159144563254
83,1675690812024,35.995,362,10.05695235449368
84,1675690848028,36.004,362,10.054438395733808
85,1675690884024,35.996,362,10.056672963662628
86,1675690920023,35.999,362,10.05583488430234
87,1675690956025,36.002,362,10.054996944614187
88,1675690992024,35.999,362,10.05583488430234
89,1675691028027,36.003,362,10.054717662417021
90,1675691064023,35.996,362,10.056672963662628
91,1675691106024,42.001,422,10.047379824289898
92,1675691136024,30,302,10.066666666666666
93,1675691172025,36.001,362,10.055276242326602
94,1675691208028,36.003,362,10.054717662417021
95,1675691244024,35.996,362,10.056672963662628
96,1675691280024,36,362,10.055555555555555
97,1675691316024,36,362,10.055555555555555
98,1675691352024,36,362,10.055555555555555
99,1675691388029,36.005,362,10.054159144563254
100,1675691424025,35.996,362,10.056672963662628
101,1675691460024,35.999,362,10.05583488430234
102,1675691496024,36,360,10
103,1675691532024,36,347,9.63888888888889
104,1675691568029,36.005,359,9.970837383696708
105,1675691604023,35.994,362,10.05723176084903
106,1675691640024,36.001,362,10.055276242326602
107,1675691676024,36,362,10.055555555555555
108,1675691712024,36,362,10.055555555555555
109,1675691748029,36.005,282,7.832245521455353
110,1675691784023,35.994,2,0.055564816358281935
