block,timestamp,blocktime,transactions,tps,events
75,1708567008026,35.997,2,0.055560185571019806,2
76,1708567020029,12.003,2,0.16662501041406316,2
77,1708567056026,35.997,2,0.055560185571019806,2
78,1708567068031,12.005,2,0.1665972511453561,2
79,1708567104031,36,2,0.05555555555555555,2
80,1708567116028,11.997,2,0.16670834375260482,2
81,1708567152024,35.996,2,0.055561729081008995,2
82,1708567164032,12.008,2,0.16655562958027983,2
83,1708567200028,35.996,2,0.055561729081008995,2
84,1708567212029,12.001,2,0.16665277893508876,2
85,1708567248030,36.001,2,0.055554012388544766,2
86,1708567260027,11.997,2,0.16670834375260482,2
87,1708567296027,36,2,0.05555555555555555,2
88,1708567308027,12,524,43.666666666666664,2090
89,1708567350029,42.002,818,19.475263082710345,3266
90,1708567392027,41.998,870,20.715272155816944,3552
91,1708567404035,12.008,401,33.39440373084611,1637
92,1708567440024,35.989,871,24.201839450943346,3517
93,1708567488026,48.002,840,17.49927086371401,3432
94,1708567506032,18.006,605,33.59991114073087,2453
95,1708567536025,29.993,903,30.107024972493583,3645
96,1708567554029,18.004,609,33.8258164852255,2469
97,1708567584032,30.003,821,27.3639302736393,3317
98,1708567602032,18,608,33.77777777777778,2465
99,1708567632027,29.995,837,27.904650775129188,3381
100,1708567644039,12.012,422,35.13153513153513,1721
101,1708567680030,35.991,56,1.5559445416909783,257
102,1708567692031,12.001,507,42.246479460044995,2061
103,1708567728027,35.996,2,0.055561729081008995,41
104,1708567740030,12.003,340,28.326251770390737,1393
105,1708567776027,35.997,2,0.055560185571019806,41
106,1708567788028,12.001,2,0.16665277893508876,41
107,1708567824033,36.005,2,0.05554784057769754,41
108,1708567836031,11.998,2,0.16669444907484582,41
109,1708567872024,35.993,2,0.05556636012557997,41
110,1708567884041,12.017,2,0.16643088957310478,41
111,1708567920028,35.987,2,0.05557562453108066,41
112,1708567932026,11.998,2,0.16669444907484582,41
