block,timestamp,blocktime,transactions,tps,events
84,1708560384025,35.998,2,0.055558642146785936,2
85,1708560396034,12.009,2,0.16654176034640686,2
86,1708560432031,35.997,2,0.055560185571019806,2
87,1708560444031,12,2,0.16666666666666666,2
88,1708560480030,35.999,2,0.055557098808300225,2
89,1708560492026,11.996,2,0.16672224074691563,2
90,1708560528030,36.004,2,0.055549383401844246,2
91,1708560540033,12.003,2,0.16662501041406316,2
92,1708560576034,36.001,2,0.055554012388544766,2
93,1708560588028,11.994,2,0.16675004168751043,2
94,1708560624024,35.996,2,0.055561729081008995,2
95,1708560636032,12.008,2,0.16655562958027983,2
96,1708560672028,35.996,2,0.055561729081008995,2
97,1708560684028,12,2,0.16666666666666666,2
98,1708560720027,35.999,2,0.055557098808300225,2
99,1708560732030,12.003,564,46.98825293676581,2250
100,1708560768029,35.999,881,24.47290202505625,3518
101,1708560786028,17.999,605,33.61297849880549,2453
102,1708560822030,36.002,868,24.109771679351145,3505
103,1708560864026,41.996,905,21.54967139727593,3692
104,1708560882029,18.003,584,32.43903793812142,2369
105,1708560912026,29.997,877,29.236256959029237,3541
106,1708560960028,48.002,918,19.12420315820174,3744
107,1708560978031,18.003,571,31.716936066211186,2317
108,1708561008032,30.001,63,2.0999300023332554,285
109,1708561020029,11.997,403,33.59173126614987,1645
110,1708561056036,36.007,2,0.05554475518649152,41
111,1708561068032,11.996,464,38.679559853284424,1889
112,1708561104027,35.995,2,0.055563272676760665,41
113,1708561122028,18.001,534,29.665018610077215,2169
114,1708561152031,30.003,2,0.06666000066660001,41
115,1708561164028,11.997,501,41.76044011002751,2037
116,1708561200027,35.999,2,0.055557098808300225,41
117,1708561212029,12.002,477,39.74337610398267,1941
118,1708561248029,36,2,0.05555555555555555,41
119,1708561260029,12,498,41.5,2025
120,1708561296043,36.014,2,0.055533959015938245,41
121,1708561308028,11.985,321,26.783479349186486,1317
122,1708561344028,36,2,0.05555555555555555,41
123,1708561356034,12.006,2,0.16658337497917708,41
124,1708561392031,35.997,2,0.055560185571019806,41
125,1708561404026,11.995,2,0.16673614005835766,41
126,1708561440030,36.004,2,0.055549383401844246,41
127,1708561452026,11.996,2,0.16672224074691563,41
128,1708561488031,36.005,2,0.05554784057769754,41
129,1708561500027,11.996,2,0.16672224074691563,41
130,1708561536031,36.004,2,0.055549383401844246,41
