block,timestamp,blocktime,transactions,tps,events
294,1708596246004,6,2,0.3333333333333333,4
295,1708596252004,6,2,0.3333333333333333,4
296,1708596258004,6,2,0.3333333333333333,4
297,1708596264004,6,2,0.3333333333333333,3
298,1708596270004,6,2,0.3333333333333333,2
299,1708596276004,6,2,0.3333333333333333,4
300,1708596282004,6,2,0.3333333333333333,3
301,1708596288003,5.999,2,0.33338889814969164,2
302,1708596294004,6.001,2,0.33327778703549404,7
303,1708596300003,5.999,2,0.33338889814969164,4
304,1708596306003,6,2,0.3333333333333333,4
305,1708596312004,6.001,2,0.33327778703549404,4
306,1708596318003,5.999,2,0.33338889814969164,4
307,1708596324005,6.002,2,0.33322225924691773,4
308,1708596330004,5.999,2,0.33338889814969164,4
309,1708596336004,6,2,0.3333333333333333,2
310,1708596342004,6,2,0.3333333333333333,4
311,1708596348005,6.001,2,0.33327778703549404,4
312,1708596354004,5.999,2,0.33338889814969164,7
313,1708596360003,5.999,2,0.33338889814969164,4
314,1708596366004,6.001,2,0.33327778703549404,4
315,1708596372003,5.999,3,0.5000833472245374,6
316,1708596378004,6.001,2,0.33327778703549404,4
317,1708596384003,5.999,2,0.33338889814969164,2
318,1708596390003,6,2,0.3333333333333333,4
319,1708596396003,6,2,0.3333333333333333,4
320,1708596402003,6,2,0.3333333333333333,3
321,1708596408004,6.001,2,0.33327778703549404,4
322,1708596414003,5.999,2,0.33338889814969164,6
323,1708596420003,6,3,0.5,5
324,1708596426003,6,2,0.3333333333333333,3
325,1708596432003,6,2,0.3333333333333333,2
326,1708596438004,6.001,2,0.33327778703549404,3
327,1708596444003,5.999,2,0.33338889814969164,4
328,1708596450003,6,2,0.3333333333333333,3
329,1708596456003,6,2,0.3333333333333333,4
330,1708596462005,6.002,3,0.49983338887037654,6
331,1708596468003,5.998,2,0.33344448149383127,3
332,1708596474004,6.001,2,0.33327778703549404,6
333,1708596480003,5.999,2,0.33338889814969164,2
334,1708596486003,6,3,0.5,6
335,1708596492004,6.001,2,0.33327778703549404,4
336,1708596498004,6,2,0.3333333333333333,3
337,1708596504003,5.999,2,0.33338889814969164,4
338,1708596510003,6,2,0.3333333333333333,4
339,1708596516004,6.001,2,0.33327778703549404,3
340,1708596522004,6,2,0.3333333333333333,2
341,1708596528004,6,2,0.3333333333333333,2
342,1708596534004,6,2,0.3333333333333333,7
343,1708596540004,6,2,0.3333333333333333,4
344,1708596546003,5.999,3,0.5000833472245374,6
345,1708596552004,6.001,2,0.33327778703549404,3
346,1708596558004,6,2,0.3333333333333333,4
347,1708596564003,5.999,2,0.33338889814969164,4
348,1708596570003,6,3,0.5,5
349,1708596576003,6,2,0.3333333333333333,2
350,1708596582005,6.002,2,0.33322225924691773,3
351,1708596588005,6,2,0.3333333333333333,4
352,1708596594004,5.999,2,0.33338889814969164,6
353,1708596600004,6,2,0.3333333333333333,3
354,1708596606004,6,2,0.3333333333333333,4
355,1708596612004,6,2,0.3333333333333333,4
