block,timestamp,blocktime,transactions,tps,events
308,1708450956004,6.001,3,0.4999166805532411,6
309,1708450962003,5.999,2,0.33338889814969164,4
310,1708450968004,6.001,2,0.33327778703549404,7
311,1708450974003,5.999,2,0.33338889814969164,4
312,1708450980004,6.001,3,0.4999166805532411,6
313,1708450986004,6,2,0.3333333333333333,4
314,1708450992004,6,2,0.3333333333333333,4
315,1708450998004,6,2,0.3333333333333333,4
316,1708451004004,6,2,0.3333333333333333,4
317,1708451010004,6,2,0.3333333333333333,4
318,1708451016004,6,2,0.3333333333333333,4
319,1708451022004,6,2,0.3333333333333333,4
320,1708451028004,6,2,0.3333333333333333,7
321,1708451034003,5.999,2,0.33338889814969164,4
322,1708451040003,6,3,0.5,6
323,1708451046003,6,2,0.3333333333333333,4
324,1708451052003,6,2,0.3333333333333333,4
325,1708451058003,6,2,0.3333333333333333,4
326,1708451064003,6,2,0.3333333333333333,4
327,1708451070004,6.001,2,0.33327778703549404,4
328,1708451076003,5.999,2,0.33338889814969164,4
329,1708451082004,6.001,2,0.33327778703549404,4
330,1708451088004,6,2,0.3333333333333333,7
331,1708451094004,6,2,0.3333333333333333,4
332,1708451100003,5.999,2,0.33338889814969164,4
333,1708451106004,6.001,2,0.33327778703549404,4
334,1708451112003,5.999,2,0.33338889814969164,4
335,1708451118003,6,2,0.3333333333333333,4
336,1708451124004,6.001,2,0.33327778703549404,4
337,1708451130002,5.998,2,0.33344448149383127,4
338,1708451136003,6.001,2,0.33327778703549404,4
339,1708451142004,6.001,2,0.33327778703549404,4
340,1708451148004,6,2,0.3333333333333333,7
341,1708451154004,6,2,0.3333333333333333,3
342,1708451160004,6,3,0.5,6
343,1708451166004,6,2,0.3333333333333333,4
344,1708451172003,5.999,3,0.5000833472245374,6
345,1708451178004,6.001,2,0.33327778703549404,4
346,1708451184004,6,2,0.3333333333333333,3
347,1708451190004,6,2,0.3333333333333333,4
348,1708451196004,6,2,0.3333333333333333,4
349,1708451202004,6,2,0.3333333333333333,3
350,1708451208004,6,2,0.3333333333333333,7
351,1708451214004,6,3,0.5,6
352,1708451220004,6,2,0.3333333333333333,4
353,1708451226003,5.999,2,0.33338889814969164,3
354,1708451232004,6.001,2,0.33327778703549404,4
355,1708451238004,6,2,0.3333333333333333,4
356,1708451244004,6,2,0.3333333333333333,3
357,1708451250003,5.999,2,0.33338889814969164,4
358,1708451256004,6.001,2,0.33327778703549404,4
359,1708451262004,6,2,0.3333333333333333,3
360,1708451268004,6,2,0.3333333333333333,7
361,1708451274004,6,3,0.5,6
362,1708451280004,6,3,0.5,6
363,1708451286004,6,2,0.3333333333333333,3
364,1708451292004,6,2,0.3333333333333333,4
365,1708451298004,6,2,0.3333333333333333,4
366,1708451304003,5.999,2,0.33338889814969164,3
367,1708451310004,6.001,2,0.33327778703549404,4
368,1708451316003,5.999,2,0.33338889814969164,4
369,1708451322004,6.001,2,0.33327778703549404,3
370,1708451328003,5.999,2,0.33338889814969164,7
371,1708451334003,6,2,0.3333333333333333,3
372,1708451340004,6.001,3,0.4999166805532411,6
373,1708451346003,5.999,2,0.33338889814969164,4
374,1708451352004,6.001,2,0.33327778703549404,4
375,1708451358003,5.999,2,0.33338889814969164,4
376,1708451364004,6.001,2,0.33327778703549404,4
377,1708451370004,6,2,0.3333333333333333,4
378,1708451376004,6,2,0.3333333333333333,4
379,1708451382003,5.999,2,0.33338889814969164,3
380,1708451388004,6.001,2,0.33327778703549404,7
381,1708451394003,5.999,2,0.33338889814969164,4
382,1708451400004,6.001,2,0.33327778703549404,4
383,1708451406004,6,2,0.3333333333333333,3
384,1708451412004,6,2,0.3333333333333333,4
385,1708451418004,6,3,0.5,6
386,1708451424003,5.999,2,0.33338889814969164,4
387,1708451430005,6.002,2,0.33322225924691773,4
388,1708451436004,5.999,2,0.33338889814969164,4
389,1708451442003,5.999,2,0.33338889814969164,4
390,1708451448004,6.001,2,0.33327778703549404,7
391,1708451454003,5.999,2,0.33338889814969164,4
392,1708451460004,6.001,2,0.33327778703549404,4
393,1708451466004,6,2,0.3333333333333333,4
394,1708451472004,6,2,0.3333333333333333,4
395,1708451478004,6,3,0.5,6
396,1708451484005,6.001,2,0.33327778703549404,4
397,1708451490005,6,2,0.3333333333333333,4
398,1708451496004,5.999,2,0.33338889814969164,4
399,1708451502003,5.999,2,0.33338889814969164,4
400,1708451508004,6.001,2,0.33327778703549404,7
401,1708451514003,5.999,3,0.5000833472245374,6
402,1708451520004,6.001,2,0.33327778703549404,4
403,1708451526004,6,2,0.3333333333333333,4
404,1708451532004,6,2,0.3333333333333333,4
405,1708451538003,5.999,2,0.33338889814969164,4
406,1708451544004,6.001,2,0.33327778703549404,4
407,1708451550003,5.999,2,0.33338889814969164,4
408,1708451556004,6.001,2,0.33327778703549404,4
409,1708451562004,6,2,0.3333333333333333,3
410,1708451568005,6.001,2,0.33327778703549404,7
411,1708451574003,5.998,3,0.5001667222407469,6
412,1708451580004,6.001,2,0.33327778703549404,4
413,1708451586003,5.999,2,0.33338889814969164,3
414,1708451592004,6.001,2,0.33327778703549404,4
415,1708451598003,5.999,2,0.33338889814969164,4
416,1708451604004,6.001,2,0.33327778703549404,4
417,1708451610004,6,2,0.3333333333333333,4
418,1708451616004,6,2,0.3333333333333333,4
419,1708451622003,5.999,2,0.33338889814969164,4
420,1708451628003,6,2,0.3333333333333333,7
421,1708451634003,6,3,0.5,6
422,1708451640004,6.001,3,0.4999166805532411,6
423,1708451646004,6,2,0.3333333333333333,3
424,1708451652003,5.999,2,0.33338889814969164,4
425,1708451658004,6.001,2,0.33327778703549404,4
426,1708451664004,6,2,0.3333333333333333,4
427,1708451670004,6,2,0.3333333333333333,4
428,1708451676003,5.999,2,0.33338889814969164,4
429,1708451682004,6.001,2,0.33327778703549404,4
430,1708451688004,6,2,0.3333333333333333,7
431,1708451694004,6,2,0.3333333333333333,4
432,1708451700003,5.999,2,0.33338889814969164,4
433,1708451706004,6.001,2,0.33327778703549404,3
434,1708451712004,6,2,0.3333333333333333,4
435,1708451718003,5.999,2,0.33338889814969164,4
436,1708451724004,6.001,2,0.33327778703549404,4
437,1708451730003,5.999,2,0.33338889814969164,4
438,1708451736003,6,2,0.3333333333333333,4
439,1708451742003,6,2,0.3333333333333333,4
440,1708451748005,6.002,2,0.33322225924691773,7
441,1708451754003,5.998,2,0.33344448149383127,4
442,1708451760004,6.001,2,0.33327778703549404,4
443,1708451766003,5.999,2,0.33338889814969164,4
444,1708451772003,6,3,0.5,6
445,1708451778003,6,2,0.3333333333333333,4
446,1708451784004,6.001,2,0.33327778703549404,4
447,1708451790002,5.998,2,0.33344448149383127,4
448,1708451796005,6.003,2,0.33316674995835416,4
449,1708451802004,5.999,2,0.33338889814969164,4
450,1708451808003,5.999,2,0.33338889814969164,7
451,1708451814003,6,2,0.3333333333333333,4
452,1708451820004,6.001,2,0.33327778703549404,4
453,1708451826003,5.999,2,0.33338889814969164,4
454,1708451832004,6.001,2,0.33327778703549404,4
455,1708451838003,5.999,2,0.33338889814969164,4
456,1708451844005,6.002,2,0.33322225924691773,4
457,1708451850003,5.998,2,0.33344448149383127,4
458,1708451856004,6.001,2,0.33327778703549404,4
459,1708451862003,5.999,2,0.33338889814969164,4
460,1708451868004,6.001,2,0.33327778703549404,7
461,1708451874004,6,2,0.3333333333333333,4
462,1708451880003,5.999,2,0.33338889814969164,4
463,1708451886004,6.001,3,0.4999166805532411,6
464,1708451892004,6,2,0.3333333333333333,4
465,1708451898003,5.999,2,0.33338889814969164,4
466,1708451904004,6.001,2,0.33327778703549404,4
